m,y,locality,seg_phos,seg_psize,seg_pet,seg_mat,seg_decs,US_RockPhos,USCalcium,native.bio,exotic.bio
8.0,2010,Okuku River,4.0,3.0,1149.93,96.88,2320.0,3.48,1.48,2,0
9.0,2010,Waiau River,4.0,3.0,1059.5,81.0,2345.0,3.1,1.147,3,2
9.0,2010,Waiau River,4.0,3.0,1048.27,79.05,2345.0,3.095,1.153,1,2
5.0,2008,Robert Creek,3.19,2.66,1046.01,90.3,2260.36,3.063,1.158,1,1
9.0,2008,Waipahi East Branch tributary,3.39,2.84,787.11,92.74,2132.39,3.407,1.407,1,1
9.0,2008,Waipahi East Branch tributary,4.0,1.0,791.1,93.31,2132.92,4.0,2.0,3,0
10.0,2008,Waikaka Stream tributary,3.12,2.05,853.55,97.3,2153.07,3.148,1.645,2,0
10.0,2008,Mill Creek,4.0,5.0,650.46,95.02,2089.72,4.0,2.0,1,0
4.0,2008,Cave Stream,3.0,2.0,827.03,97.08,2285.1,3.0,1.0,1,0
4.0,2008,Cave Stream,3.0,2.0,827.92,96.46,2285.93,3.0,1.0,2,1
3.0,2009,Maruia River,3.0,3.54,925.6,86.54,2296.68,3.0,1.588,2,0
3.0,2009,Maruia River,3.0,3.54,925.6,86.54,2296.68,3.0,1.588,1,0
3.0,2009,Maruia River,2.62,1.97,913.06,99.0,2287.0,1.301,0.325,2,1
3.0,2009,Maruia River,1.29,0.97,914.96,99.0,2287.07,1.148,0.287,1,1
3.0,2009,Maruia River,3.13,2.35,925.61,102.0,2294.18,3.402,0.85,2,1
5.0,2009,Maruia River,2.48,2.23,937.98,96.52,2291.94,2.323,0.703,2,1
6.0,2009,Duck Creek tributary,2.62,3.0,761.89,109.04,2213.89,2.608,1.0,4,0
6.0,2009,Duck Creek tributaries,2.62,3.0,761.89,109.04,2213.89,2.608,1.0,2,0
6.0,2009,Lake Brunner tributary wetland,3.83,2.17,809.88,112.83,2221.91,3.316,1.0,1,0
7.0,2009,Crooked River tributary,4.0,2.0,810.95,113.0,2221.65,4.0,1.0,1,0
9.0,2009,Rutherglen area forest,3.32,3.41,830.02,116.29,2221.49,3.285,1.0,1,0
9.0,2009,Rutherglen peat bog,3.12,3.25,822.89,115.57,2220.55,3.162,1.0,2,1
9.0,2009,New River tributary,3.76,3.94,826.61,115.79,2220.74,3.832,1.0,3,0
3.0,2010,Maruia River tributary,1.07,3.0,887.61,98.43,2283.84,1.003,1.0,0,1
3.0,2010,Maruia River tributary,3.63,2.97,914.28,100.45,2288.93,3.378,0.917,1,0
3.0,2010,Maruia River,0.21,0.21,912.62,101.0,2288.33,0.409,0.136,2,1
3.0,2010,Maruia River tributary,2.4,2.85,904.47,99.2,2289.5,2.386,0.913,0,0
3.0,2010,Maruia River tributary,3.63,2.97,914.28,100.45,2288.93,3.378,0.917,1,0
4.0,2010,Diamond Creek,3.0,2.0,816.27,95.5,2285.17,3.0,1.0,2,0
4.0,2010,Caves Stream,3.0,2.0,845.93,99.41,2286.55,3.0,1.0,1,0
4.0,2010,Caves Stream,3.0,2.0,827.92,96.46,2285.93,3.0,1.0,4,1
4.0,2010,Caves Stream,3.0,2.0,827.92,96.46,2285.93,3.0,1.0,2,2
3.0,2008,Puremahaia River,3.65,3.18,1030.48,126.6,2353.23,3.565,1.864,3,0
3.0,2008,Puremahaia River,3.65,3.18,1030.48,126.6,2353.23,3.565,1.864,4,0
3.0,2008,Takaka River tributary,1.0,1.99,1058.31,127.0,2361.34,0.989,0.989,3,1
3.0,2008,Takaka River tributary,1.0,1.99,1058.31,127.0,2361.34,0.989,0.989,5,0
3.0,2008,Motupipi River,1.45,3.34,1061.46,126.92,2362.7,1.42,2.261,2,0
3.0,2008,Motupipi River,1.53,2.41,1063.42,126.94,2363.46,1.61,1.332,3,0
3.0,2008,Motupipi River,1.53,2.41,1063.42,126.94,2363.46,1.61,1.332,4,0
3.0,2008,Seaton Valley Stream,1.37,2.81,1208.99,124.15,2403.62,1.354,1.177,5,0
3.0,2008,Seaton Valley Stream,3.0,2.0,1214.71,125.0,2403.0,3.0,2.0,3,0
